
Host                                            Status       Expires      Days
bozeman.desire2learn.com:443                    Valid        Jul 23 2013  267                                
billings.desire2learn.com:443                   Valid        Jul 23 2013  267                                
msugf.desire2learn.com:443                      Valid        Jul 23 2013  267                                
northern.desire2learn.com:443                   Valid        Jul 23 2013  267                                
msvcc.desire2learn.com:443                      Valid        Jul 23 2013  267                                
nfstc.desire2learn.com:443                      Valid        Jul 23 2013  267                                
canada30.desire2learn.com:443                   Valid        Jul 23 2013  267                                
canada30.desire2learn.com:443                   Valid        Jul 23 2013  267                                
partners.desire2learn.com:443                   Valid        Jul 23 2013  267                                
plearn.desire2learn.com:443                     Valid        Jul 23 2013  267                                
plearn.desire2learn.com:443                     Valid        Jul 23 2013  267                                
respondus.desire2learn.com:443                  Valid        Jul 23 2013  267                                
respondus.desire2learn.com:443                  Valid        Jul 23 2013  267                                
ivs.desire2learn.com:443                        Valid        Jun 16 2014  595                                
ptcsc.desire2learn.com:443                      Valid        Jul 23 2013  267                                
qsb.desire2learn.com:443                        Valid        Jul 18 2013  262                                
sce.desire2learn.com:443                        Valid        Oct 11 2015  1077                               
ben.desire2learn.com:443                        Valid        Jul 23 2013  267                                
ccfj.desire2learn.com:443                       Valid        May 27 2013  210                                
connectionscourse.desire2learn.com:443          Valid        Jul 23 2013  267                                
ilearn.canadorec.desire2learn.com:443           Valid        Jun 24 2014  603                                
longwoodlive.desire2learn.com:443               Valid        May 25 2015  938                                
quc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
spertus.desire2learn.com:443                    Valid        Jul 23 2013  267                                
uspra.desire2learn.com:443                      Valid        Jul 23 2013  267                                
sjsu.desire2learn.com:443                       Valid        Jul 23 2013  267                                
cctech.desire2learn.com:443                     Valid        Jul 23 2013  267                                
fdtc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
hgtc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
midlandstech.desire2learn.com:443               Valid        Jul 23 2013  267                                
collingswood.desire2learn.com:443               Valid        Jul 23 2013  267                                
michelsacademy.desire2learn.com:443             Valid        Jul 23 2013  267                                
sparks.desire2learn.com:443                     Valid        Jul 23 2013  267                                
sparksdemo.desire2learn.com:443                 Valid        Jul 23 2013  267                                
wic.desire2learn.com:443                        Valid        Jul 23 2013  267                                
cityuhk.desire2learn.com:443                    Valid        Jul 23 2013  267                                
cpled.desire2learn.com:443                      Valid        Jul 23 2013  267                                
etfo.desire2learn.com:443                       Valid        Feb 26 2013  120                                
ust.desire2learn.com:443                        Valid        Jul 23 2013  267                                
tca-cp.desire2learn.com:443                     Valid        Jul 23 2013  267                                
tekura.desire2learn.com:443                     Valid        Jul 23 2013  267                                
templejc.desire2learn.com:443                   Valid        Jul 23 2013  267                                
medicpgt.desire2learn.com:443                   Valid        Apr 7 2013   160                                
wcu.desire2learn.com:443                        Valid        Nov 4 2013   371                                
desire2learn.com:443                            Valid        Jul 23 2013  267                                
desire2learn.com:443                            Valid        Jul 23 2013  267                                
campuslife.desire2learn.com:443                 Valid        Jul 23 2013  267                                
mylo2012.utas.edu.au:443                        Valid        Jan 9 2015   802                                
helpdesk.desire2learn.com:443                   Valid        Jul 23 2013  267                                
communitech.desire2learn.com:443                Valid        Jul 23 2013  267                                
ESATrainingServices.desire2learn.com:443        Valid        Jul 23 2013  267                                
ltw.desire2learn.com:443                        Valid        Jul 23 2013  267                                
nerc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
distance.scic.com:443                           Valid        Oct 22 2013  358                                
watsec.desire2learn.com:443                     Valid        Jul 23 2013  267                                
www.dekalbonlineacademy.org:443                 Valid        Sep 25 2013  331                                
courselink.uoguelph.ca:443                      Valid        Jul 2 2013   246                                
lsco.desire2learn.com:443                       Valid        Jul 23 2013  267                                
D2L.educ.queensu.ca:443                         Valid        Jul 21 2013  265                                
learn.readingfirstohio.org:443                  Valid        Oct 24 2013  360                                
d2l.sdbor.edu:443                               Expiring     Nov 23 2012  25                                 
www.sreb-score.org:443                          Valid        Jul 23 2013  267                                
vln.ucourses.com:443                            Valid        Oct 17 2013  353                                
col.desire2learn.com:443                        Valid        Jul 23 2013  267                                
dougsteamer.desire2learn.com:443                Valid        Jul 23 2013  267                                
pdi.desire2learn.com:443                        Valid        Nov 11 2016  1474                               
viqua.desire2learn.com:443                      Valid        Jul 23 2013  267                                
westernonline.wiu.edu:443                       Valid        Jun 3 2013   217                                
d2l.virtualvirginia.org:443                     Valid        Oct 2 2014   703                                
online2.walshcollege.edu:443                    Valid        Feb 19 2013  113                                
d2l.viu.ca:443                                  Valid        Apr 8 2015   891                                
nexus.uwinnipeg.ca:443                          Valid        Nov 28 2016  1491                               
UTEC.desire2learn.com:443                       Valid        Jul 23 2013  267                                
lms.unb.ca:443                                  Valid        Oct 26 2013  362                                
universityofmanitoba.desire2learn.com:443       Valid        Jul 23 2013  267                                
train.uco.edu:443                               Valid        Jan 8 2013   71                                 
mydesire2learn.com:443                          Valid        Jun 18 2015  962                                
online.siu.edu:443                              Valid        Nov 4 2016   1467                               
slate.sheridancollege.ca:443                    Valid        May 2 2014   550                                
learn.radford.edu:443                           Valid        Dec 8 2012   40                                 
pdonline.eftours.com:443                        Valid        Jan 22 2014  450                                
weshare.eftours.com:443                         Valid        Nov 30 2012  32                                 
d2l.bccampus.ca:443                             Valid        Mar 7 2014   494                                
online.camosun.ca:443                           Valid        Jun 1 2013   215                                
online.nwcc.bc.ca:443                           Valid        Dec 1 2012   33                                 
ccis.ucourses.com:443                           Valid        Oct 17 2013  353                                
www.galluppathfinder.com:443                    Valid        Jan 2 2016   1160                               
learn.strengths.org:443                         Valid        Aug 9 2013   284                                
trios.desire2learn.com:443                      Valid        Jul 23 2013  267                                
workforcecentralflorida.desire2learn.com:443    Valid        Jul 23 2013  267                                
ytp.desire2learn.com:443                        Valid        Jul 23 2013  267                                
biotalent.ucourses.com:443                      Valid        Jul 23 2013  267                                
oliver.ucourses.com:443                         Valid        Jul 23 2013  267                                
courses.problemgambling.ca:443                  Valid        Jul 28 2014  637                                
ifaparis.desire2learn.com:443                   Valid        Jul 23 2013  267                                
onlinelearning.nycc.edu:443                     Valid        Jun 12 2015  956                                
online.casb.com:443                             Valid        Jul 23 2013  267                                
d2l.coloradomesa.edu:443                        Valid        Sep 6 2014   677                                
dominicancollege.desire2learn.com:443           Valid        Jul 23 2013  267                                
virtual.fctc.edu:443                            Valid        Nov 10 2013  377                                
hsfc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
Teachers21.desire2learn.com:443                 Valid        Jul 23 2013  267                                
umanitoba.desire2learn.com:443                  Valid        Jul 23 2013  267                                
d2l.yorktech.edu:443                            Valid        Dec 9 2013   406                                
ECACS.Desire2Learn.com:443                      Valid        Jul 23 2013  267                                
elearning.my.pacifica.edu:443                   Valid        Feb 15 2016  1204                               
stkate.desire2learn.com:443                     Valid        Jul 23 2013  267                                
tekura.desire2learn.com:443                     Valid        Jul 23 2013  267                                
adlc.desire2learn.com:443                       Valid        Oct 29 2016  1461                               
d20online.desire2learn.com:443                  Valid        Jul 23 2013  267                                
bconline.broward.edu:443                        Valid        Oct 25 2013  361                                
charisbiblecollege.desire2learn.com:443         Valid        Jul 23 2013  267                                
desales.desire2learn.com:443                    Valid        Jul 23 2013  267                                
durhamcollege.desire2learn.com:443              Valid        Jul 23 2013  267                                
t-vols.org:443                                  Valid        Jan 16 2013  79                                 
