
Host                                            Status       Expires      Days
mghinstitute.desire2learn.com:443               Valid        Jul 23 2013  242                                
monmouth.desire2learn.com:443                   Valid        Jul 23 2013  242                                
sp.desire2learn.com:443                         Valid        Jul 23 2013  242                                
iste.desire2learn.com:443                       Valid        Jul 23 2013  242                                
lauriermba.desire2learn.com:443                 Valid        Jul 23 2013  242                                
lsco.desire2learn.com:443                       Valid        Jul 23 2013  242                                
maryville.desire2learn.com:443                  Valid        Apr 30 2013  158                                
mohawk.desire2learn.com:443                     Valid        Jul 21 2015  970                                
mrhsd.desire2learn.com:443                      Valid        Jul 23 2013  242                                
bozeman.desire2learn.com:443                    Valid        Jul 23 2013  242                                
billings.desire2learn.com:443                   Valid        Jul 23 2013  242                                
msugf.desire2learn.com:443                      Valid        Jul 23 2013  242                                
northern.desire2learn.com:443                   Valid        Jul 23 2013  242                                
msvcc.desire2learn.com:443                      Valid        Jul 23 2013  242                                
nfstc.desire2learn.com:443                      Valid        Jul 23 2013  242                                
canada30.desire2learn.com:443                   Valid        Jul 23 2013  242                                
canada30.desire2learn.com:443                   Valid        Jul 23 2013  242                                
partners.desire2learn.com:443                   Valid        Jul 23 2013  242                                
plearn.desire2learn.com:443                     Valid        Jul 23 2013  242                                
plearn.desire2learn.com:443                     Valid        Jul 23 2013  242                                
respondus.desire2learn.com:443                  Valid        Jul 23 2013  242                                
respondus.desire2learn.com:443                  Valid        Jul 23 2013  242                                
ivs.desire2learn.com:443                        Valid        Jun 16 2014  570                                
ptcsc.desire2learn.com:443                      Valid        Jul 23 2013  242                                
qsb.desire2learn.com:443                        Valid        Jul 18 2013  237                                
sce.desire2learn.com:443                        Valid        Oct 11 2015  1052                               
ben.desire2learn.com:443                        Valid        Jul 23 2013  242                                
ccfj.desire2learn.com:443                       Valid        May 27 2013  185                                
connectionscourse.desire2learn.com:443          Valid        Jul 23 2013  242                                
ilearn.canadorec.desire2learn.com:443           Valid        Jun 24 2014  578                                
longwoodlive.desire2learn.com:443               Valid        May 25 2015  913                                
quc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
spertus.desire2learn.com:443                    Valid        Jul 23 2013  242                                
uspra.desire2learn.com:443                      Valid        Jul 23 2013  242                                
sjsu.desire2learn.com:443                       Valid        Jul 23 2013  242                                
cctech.desire2learn.com:443                     Valid        Jul 23 2013  242                                
fdtc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
hgtc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
midlandstech.desire2learn.com:443               Valid        Jul 23 2013  242                                
collingswood.desire2learn.com:443               Valid        Jul 23 2013  242                                
michelsacademy.desire2learn.com:443             Valid        Jul 23 2013  242                                
sparks.desire2learn.com:443                     Valid        Jul 23 2013  242                                
sparksdemo.desire2learn.com:443                 Valid        Jul 23 2013  242                                
wic.desire2learn.com:443                        Valid        Jul 23 2013  242                                
cityuhk.desire2learn.com:443                    Valid        Jul 23 2013  242                                
cpled.desire2learn.com:443                      Valid        Jul 23 2013  242                                
etfo.desire2learn.com:443                       Valid        Feb 26 2013  95                                 
ust.desire2learn.com:443                        Valid        Jul 23 2013  242                                
tca-cp.desire2learn.com:443                     Valid        Jul 23 2013  242                                
tekura.desire2learn.com:443                     Valid        Jul 23 2013  242                                
templejc.desire2learn.com:443                   Valid        Jul 23 2013  242                                
medicpgt.desire2learn.com:443                   Valid        Apr 7 2013   135                                
wcu.desire2learn.com:443                        Valid        Nov 4 2013   346                                
desire2learn.com:443                            Valid        Jul 23 2013  242                                
desire2learn.com:443                            Valid        Jul 23 2013  242                                
campuslife.desire2learn.com:443                 Valid        Jul 23 2013  242                                
mylo2012.utas.edu.au:443                        Valid        Jan 9 2015   777                                
helpdesk.desire2learn.com:443                   Valid        Jul 23 2013  242                                
communitech.desire2learn.com:443                Valid        Jul 23 2013  242                                
ESATrainingServices.desire2learn.com:443        Valid        Jul 23 2013  242                                
ltw.desire2learn.com:443                        Valid        Jul 23 2013  242                                
nerc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
distance.scic.com:443                           Valid        Oct 22 2013  333                                
watsec.desire2learn.com:443                     Valid        Jul 23 2013  242                                
www.dekalbonlineacademy.org:443                 Valid        Sep 25 2013  306                                
courselink.uoguelph.ca:443                      Valid        Jul 2 2013   221                                
lsco.desire2learn.com:443                       Valid        Jul 23 2013  242                                
D2L.educ.queensu.ca:443                         Valid        Jul 21 2013  240                                
learn.readingfirstohio.org:443                  Valid        Oct 24 2013  335                                
d2l.sdbor.edu:443                               Valid        Jan 14 2014  417                                
www.sreb-score.org:443                          Valid        Jul 23 2013  242                                
vln.ucourses.com:443                            Valid        Oct 17 2013  328                                
col.desire2learn.com:443                        Valid        Jul 23 2013  242                                
dougsteamer.desire2learn.com:443                Valid        Jul 23 2013  242                                
pdi.desire2learn.com:443                        Valid        Nov 11 2016  1449                               
viqua.desire2learn.com:443                      Valid        Jul 23 2013  242                                
westernonline.wiu.edu:443                       Valid        Jun 3 2013   192                                
d2l.virtualvirginia.org:443                     Valid        Oct 2 2014   678                                
online2.walshcollege.edu:443                    Valid        Feb 19 2013  88                                 
d2l.viu.ca:443                                  Valid        Apr 8 2015   866                                
nexus.uwinnipeg.ca:443                          Valid        Nov 28 2016  1466                               
UTEC.desire2learn.com:443                       Valid        Jul 23 2013  242                                
lms.unb.ca:443                                  Valid        Oct 26 2013  337                                
universityofmanitoba.desire2learn.com:443       Valid        Jul 23 2013  242                                
train.uco.edu:443                               Valid        Jan 8 2013   46                                 
mydesire2learn.com:443                          Valid        Jun 18 2015  937                                
online.siu.edu:443                              Valid        Nov 4 2016   1442                               
slate.sheridancollege.ca:443                    Valid        May 2 2014   525                                
learn.radford.edu:443                           Expiring     Dec 8 2012   15                                 
pdonline.eftours.com:443                        Valid        Jan 22 2014  425                                
weshare.eftours.com:443                         Expiring     Nov 30 2012  7                                  
d2l.bccampus.ca:443                             Valid        Mar 7 2014   469                                
online.camosun.ca:443                           Valid        Jun 1 2013   190                                
online.nwcc.bc.ca:443                           Expiring     Dec 1 2012   8                                  
ccis.ucourses.com:443                           Valid        Oct 17 2013  328                                
www.galluppathfinder.com:443                    Valid        Jan 2 2016   1135                               
learn.strengths.org:443                         Valid        Aug 9 2013   259                                
trios.desire2learn.com:443                      Valid        Jul 23 2013  242                                
workforcecentralflorida.desire2learn.com:443    Valid        Jul 23 2013  242                                
ytp.desire2learn.com:443                        Valid        Jul 23 2013  242                                
biotalent.ucourses.com:443                      Valid        Jul 23 2013  242                                
oliver.ucourses.com:443                         Valid        Jul 23 2013  242                                
courses.problemgambling.ca:443                  Valid        Jul 28 2014  612                                
ifaparis.desire2learn.com:443                   Valid        Jul 23 2013  242                                
